Año;Periodo;Precio del gasóleo
2017;Semana 29;1,05
2017;Semana 30;1,05
2017;Semana 31;1,05
2017;Semana 32;1,06
2017;Semana 33;1,07
2017;Semana 34;1,07
2017;Semana 35;1,07
2017;Semana 36;1,07
2017;Semana 37;1,07
2017;Semana 38;1,08
2017;Semana 39;1,09
2017;Semana 40;1,09
2017;Semana 41;1,11
2017;Semana 42;1,11
2017;Semana 43;1,1
2017;Semana 44;1,11
2017;Semana 45;1,11
2017;Semana 46;1,12
2017;Semana 47;1,13
2017;Semana 48;1,14
2017;Semana 49;1,14
2017;Semana 50;1,14
2017;Semana 51;1,13
2017;Semana 52;1,14
2018;Semana 1;1,15
2018;Semana 2;1,16
2018;Semana 3;1,16
2018;Semana 4;1,17
2018;Semana 5;1,16
2018;Semana 6;1,16
2018;Semana 7;1,15
2018;Semana 8;1,13
2018;Semana 9;1,13
2018;Semana 10;1,14
2018;Semana 11;1,13
2018;Semana 12;1,13
2018;Semana 13;1,14
2018;Semana 15;1,16
2018;Semana 16;1,16
2018;Semana 17;1,17
2018;Semana 18;1,18
2018;Semana 19;1,19
2018;Semana 20;1,21
2018;Semana 21;1,23
2018;Semana 22;1,24
2018;Semana 23;1,24
2018;Semana 24;1,24
2018;Semana 25;1,23
2018;Semana 26;1,22
2018;Semana 27;1,22
2018;Semana 28;1,23
2018;Semana 29;1,23
2018;Semana 30;1,22
2018;Semana 31;1,22
2018;Semana 32;1,23
2018;Semana 33;1,23
2018;Semana 34;1,23
2018;Semana 35;1,23
2018;Semana 36;1,24
2018;Semana 37;1,25
2018;Semana 38;1,25
2018;Semana 39;1,24
2018;Semana 40;1,25
2018;Semana 41;1,27
2018;Semana 42;1,28
2018;Semana 43;1,28
2018;Semana 44;1,28
2018;Semana 45;1,27
2018;Semana 46;1,26
2018;Semana 47;1,25
2018;Semana 48;1,23
2018;Semana 49;1,2
2018;Semana 50;1,18
2018;Semana 51;1,16
2019;Semana 2;1,13
2019;Semana 3;1,15
2019;Semana 4;1,17
2019;Semana 5;1,18
2019;Semana 6;1,18
2019;Semana 7;1,19
2019;Semana 8;1,2
2019;Semana 9;1,22
2019;Semana 10;1,23
2019;Semana 11;1,23
2019;Semana 12;1,23
2019;Semana 13;1,23
2019;Semana 14;1,23
2019;Semana 15;1,23
2019;Semana 16;1,24
2019;Semana 18;1,26
2019;Semana 19;1,26
2019;Semana 20;1,26
2019;Semana 21;1,26
2019;Semana 22;1,26
2019;Semana 23;1,25
2019;Semana 24;1,22
2019;Semana 25;1,2
2019;Semana 26;1,19
2019;Semana 27;1,2
2019;Semana 28;1,21
2019;Semana 29;1,21
2019;Semana 30;1,21
2019;Semana 31;1,21
2019;Semana 32;1,22
2019;Semana 33;1,21
2019;Semana 34;1,2
2019;Semana 35;1,2
2019;Semana 36;1,2
2019;Semana 37;1,2
2019;Semana 38;1,21
2019;Semana 39;1,23
2019;Semana 40;1,23
2019;Semana 41;1,22
2019;Semana 42;1,21
2019;Semana 43;1,21
2019;Semana 44;1,21
2019;Semana 45;1,21
2019;Semana 46;1,22
2019;Semana 47;1,21
2019;Semana 48;1,21
