Marca;Marca_url;Modelo;Modelo_url;Ventas;Year
MINI;https://eu-evs.com/brandCharts/MINI/ES;COOPER;https://eu-evs.com/modelCharts/MINI/COOPER/ES;6;2019
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;PASSAT;https://eu-evs.com/modelCharts/VOLKSWAGEN/PASSAT/ES;1;2019
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;NEO;https://eu-evs.com/modelCharts/VOLKSWAGEN/NEO/ES;1;2019
TAZZARI;https://eu-evs.com/brandCharts/TAZZARI/ES;N.A;https://eu-evs.com/modelCharts/TAZZARI/N.A/ES;1;2019
RENAULT;https://eu-evs.com/brandCharts/RENAULT/ES;ZOE;https://eu-evs.com/modelCharts/RENAULT/ZOE/ES;2431;2020
HYUNDAI;https://eu-evs.com/brandCharts/HYUNDAI/ES;KONA;https://eu-evs.com/modelCharts/HYUNDAI/KONA/ES;1793;2020
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;E-208;https://eu-evs.com/modelCharts/PEUGEOT/E-208/ES;1249;2020
TESLA;https://eu-evs.com/brandCharts/TESLA/ES;MODEL 3;https://eu-evs.com/modelCharts/TESLA/MODEL%203/ES;1202;2020
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;ID.3;https://eu-evs.com/modelCharts/VOLKSWAGEN/ID.3/ES;1017;2020
SEAT;https://eu-evs.com/brandCharts/SEAT/ES;MII;https://eu-evs.com/modelCharts/SEAT/MII/ES;905;2020
NISSAN;https://eu-evs.com/brandCharts/NISSAN/ES;LEAF;https://eu-evs.com/modelCharts/NISSAN/LEAF/ES;880;2020
KIA;https://eu-evs.com/brandCharts/KIA/ES;NIRO;https://eu-evs.com/modelCharts/KIA/NIRO/ES;759;2020
SMART;https://eu-evs.com/brandCharts/SMART/ES;FORTWO;https://eu-evs.com/modelCharts/SMART/FORTWO/ES;734;2020
MINI;https://eu-evs.com/brandCharts/MINI/ES;COOPER;https://eu-evs.com/modelCharts/MINI/COOPER/ES;715;2020
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;GOLF;https://eu-evs.com/modelCharts/VOLKSWAGEN/GOLF/ES;708;2020
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;E-2008;https://eu-evs.com/modelCharts/PEUGEOT/E-2008/ES;648;2020
SMART;https://eu-evs.com/brandCharts/SMART/ES;FORFOUR;https://eu-evs.com/modelCharts/SMART/FORFOUR/ES;635;2020
VOLKSWAGEN;https://eu-evs.com/brandCharts/VOLKSWAGEN/ES;UP!;https://eu-evs.com/modelCharts/VOLKSWAGEN/UP!/ES;485;2020
OPEL;https://eu-evs.com/brandCharts/OPEL/ES;CORSA-E;https://eu-evs.com/modelCharts/OPEL/CORSA-E/ES;402;2020
BMW;https://eu-evs.com/brandCharts/BMW/ES;I3;https://eu-evs.com/modelCharts/BMW/I3/ES;400;2020
MAZDA;https://eu-evs.com/brandCharts/MAZDA/ES;MX-30;https://eu-evs.com/modelCharts/MAZDA/MX-30/ES;318;2020
AUDI;https://eu-evs.com/brandCharts/AUDI/ES;E-TRON;https://eu-evs.com/modelCharts/AUDI/E-TRON/ES;266;2020
SKODA;https://eu-evs.com/brandCharts/SKODA/ES;CITIGO;https://eu-evs.com/modelCharts/SKODA/CITIGO/ES;262;2020
MERCEDES;https://eu-evs.com/brandCharts/MERCEDES/ES;EQV;https://eu-evs.com/modelCharts/MERCEDES/EQV/ES;260;2020
MERCEDES;https://eu-evs.com/brandCharts/MERCEDES/ES;EQC;https://eu-evs.com/modelCharts/MERCEDES/EQC/ES;237;2020
HYUNDAI;https://eu-evs.com/brandCharts/HYUNDAI/ES;IONIQ;https://eu-evs.com/modelCharts/HYUNDAI/IONIQ/ES;208;2020
PORSCHE;https://eu-evs.com/brandCharts/PORSCHE/ES;TAYCAN;https://eu-evs.com/modelCharts/PORSCHE/TAYCAN/ES;199;2020
FIAT;https://eu-evs.com/brandCharts/FIAT/ES;500E;https://eu-evs.com/modelCharts/FIAT/500E/ES;199;2020
DS;https://eu-evs.com/brandCharts/DS/ES;3 CROSSBACK;https://eu-evs.com/modelCharts/DS/3%20CROSSBACK/ES;192;2020
KIA;https://eu-evs.com/brandCharts/KIA/ES;SOUL;https://eu-evs.com/modelCharts/KIA/SOUL/ES;164;2020
NISSAN;https://eu-evs.com/brandCharts/NISSAN/ES;E-NV200;https://eu-evs.com/modelCharts/NISSAN/E-NV200/ES;155;2020
TESLA;https://eu-evs.com/brandCharts/TESLA/ES;MODEL X;https://eu-evs.com/modelCharts/TESLA/MODEL%20X/ES;141;2020
JAGUAR;https://eu-evs.com/brandCharts/JAGUAR/ES;I-PACE;https://eu-evs.com/modelCharts/JAGUAR/I-PACE/ES;128;2020
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;E-C4;https://eu-evs.com/modelCharts/CITROEN/E-C4/ES;127;2020
TESLA;https://eu-evs.com/brandCharts/TESLA/ES;MODEL S;https://eu-evs.com/modelCharts/TESLA/MODEL%20S/ES;107;2020
HONDA;https://eu-evs.com/brandCharts/HONDA/ES;E;https://eu-evs.com/modelCharts/HONDA/E/ES;101;2020
AUDI;https://eu-evs.com/brandCharts/AUDI/ES;E-TRON SPORTBACK;https://eu-evs.com/modelCharts/AUDI/E-TRON%20SPORTBACK/ES;80;2020
RENAULT;https://eu-evs.com/brandCharts/RENAULT/ES;TWINGO;https://eu-evs.com/modelCharts/RENAULT/TWINGO/ES;57;2020
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;C-ZERO;https://eu-evs.com/modelCharts/CITROEN/C-ZERO/ES;38;2020
OPEL;https://eu-evs.com/brandCharts/OPEL/ES;VIVARO-ZAFIRA LIFE;https://eu-evs.com/modelCharts/OPEL/VIVARO-ZAFIRA%20LIFE/ES;30;2020
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;ION;https://eu-evs.com/modelCharts/PEUGEOT/ION/ES;26;2020
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;E-PARTNER;https://eu-evs.com/modelCharts/PEUGEOT/E-PARTNER/ES;22;2020
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;E-TRAVELLER;https://eu-evs.com/modelCharts/PEUGEOT/E-TRAVELLER/ES;15;2020
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;E-BERLINGO;https://eu-evs.com/modelCharts/CITROEN/E-BERLINGO/ES;11;2020
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;E-SPACETOURER;https://eu-evs.com/modelCharts/CITROEN/E-SPACETOURER/ES;6;2020
